lower,upper,single,mfj,mfs,hoh
76451,76551,3553,1788,3553,1963
76551,76651,3562,1792,3562,1969
76651,76751,3572,1796,3572,1975
76751,76851,3581,1800,3581,1981
76851,76951,3590,1804,3590,1987
76951,77051,3600,1808,3600,1993
77051,77151,3609,1812,3609,1999
77151,77251,3618,1816,3618,2005
77251,77351,3628,1820,3628,2011
77351,77451,3637,1824,3637,2017
77451,77551,3646,1828,3646,2023
77551,77651,3655,1832,3655,2029
77651,77751,3665,1836,3665,2035
77751,77851,3674,1840,3674,2041
77851,77951,3683,1844,3683,2047
77951,78051,3693,1848,3693,2053
78051,78151,3702,1852,3702,2059
78151,78251,3711,1856,3711,2065
78251,78351,3721,1860,3721,2071
78351,78451,3730,1864,3730,2077
78451,78551,3739,1868,3739,2083
78551,78651,3748,1872,3748,2089
78651,78751,3758,1876,3758,2095
78751,78851,3767,1880,3767,2101
78851,78951,3776,1884,3776,2107
78951,79051,3786,1888,3786,2113
79051,79151,3795,1892,3795,2119
79151,79251,3804,1896,3804,2125
79251,79351,3814,1900,3814,2131
79351,79451,3823,1904,3823,2137
79451,79551,3832,1908,3832,2143
79551,79651,3841,1912,3841,2149
79651,79751,3851,1916,3851,2155
79751,79851,3860,1920,3860,2161
79851,79951,3869,1924,3869,2167
79951,80051,3879,1928,3879,2173
80051,80151,3888,1932,3888,2179
80151,80251,3897,1936,3897,2185
80251,80351,3907,1940,3907,2191
80351,80451,3916,1944,3916,2197
80451,80551,3925,1948,3925,2203
80551,80651,3934,1952,3934,2209
80651,80751,3944,1956,3944,2215
80751,80851,3953,1960,3953,2221
80851,80951,3962,1964,3962,2227
80951,81051,3972,1968,3972,2233
81051,81151,3981,1972,3981,2239
81151,81251,3990,1976,3990,2245
81251,81351,4000,1980,4000,2251
81351,81451,4009,1984,4009,2257
81451,81551,4018,1988,4018,2263
81551,81651,4027,1992,4027,2269
81651,81751,4037,1996,4037,2275
81751,81851,4046,2000,4046,2281
81851,81951,4055,2004,4055,2287
81951,82051,4065,2008,4065,2293
82051,82151,4074,2012,4074,2299
82151,82251,4083,2016,4083,2305
82251,82351,4093,2020,4093,2311
82351,82451,4102,2024,4102,2317
82451,82551,4111,2028,4111,2323
82551,82651,4120,2032,4120,2329
82651,82751,4130,2036,4130,2335
82751,82851,4139,2040,4139,2341
82851,82951,4148,2044,4148,2347
82951,83051,4158,2050,4158,2353
83051,83151,4167,2056,4167,2359
83151,83251,4176,2062,4176,2365
83251,83351,4186,2068,4186,2371
83351,83451,4195,2074,4195,2377
83451,83551,4204,2080,4204,2383
